Using SPARSE 1.3 as Direct Linear Solver

Note: No compatibility mode selected!


Circuit: ********************************************************************************

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
sn                                -5.18664e-10
wwl_drv                                   -0.8
wbl_drv                                    1.2
rwl_drv                                      0
rbl_drv                                      0
vdd                                        1.2
wwl                                       -0.8
wbl                                        1.2
rwl                                          0
rbl                                2.39995e-05
v_dd#branch                       -1.19998e-05
v_rbl#branch                       1.19998e-05
v_rwl#branch                                 0
v_wbl#branch                                 0
v_wwl#branch                                 0


No. of Data Rows : 242
********************************************************************************
Transient Analysis  Tue Aug 18 15:49:49  2026
--------------------------------------------------------------------------------
Index   time            v(wwl)          v(wbl)          v(rwl)          
--------------------------------------------------------------------------------
0	0.000000e+00	-8.00000e-01	1.200000e+00	0.000000e+00	
1	1.000000e-12	-8.00000e-01	1.200000e+00	-4.12617e-22	
2	2.000000e-12	-8.00000e-01	1.200000e+00	-2.60266e-22	
3	4.000000e-12	-8.00000e-01	1.200000e+00	-2.60151e-22	
4	8.000000e-12	-8.00000e-01	1.200000e+00	-1.06272e-25	
5	1.600000e-11	-8.00000e-01	1.200000e+00	-6.49398e-23	
6	3.200000e-11	-8.00000e-01	1.200000e+00	6.493364e-23	
7	6.400000e-11	-8.00000e-01	1.200000e+00	-6.49306e-23	
8	1.280000e-10	-8.00000e-01	1.200000e+00	3.240338e-23	
9	2.280000e-10	-8.00000e-01	1.200000e+00	-3.24029e-23	
10	3.280000e-10	-8.00000e-01	1.200000e+00	3.240240e-23	
11	4.280000e-10	-8.00000e-01	1.200000e+00	-3.24019e-23	
12	5.280000e-10	-8.00000e-01	1.200000e+00	3.240143e-23	
13	6.280000e-10	-8.00000e-01	1.200000e+00	-3.24009e-23	
14	7.280000e-10	-8.00000e-01	1.200000e+00	3.240045e-23	
15	8.280000e-10	-8.00000e-01	1.200000e+00	-3.24000e-23	
16	9.280000e-10	-8.00000e-01	1.200000e+00	3.239948e-23	
17	1.000000e-09	-8.00000e-01	1.200000e+00	-2.51709e-23	
18	1.000010e-09	-5.78308e-01	1.200005e+00	3.779841e-05	
19	1.000030e-09	-1.18908e-01	1.200006e+00	4.325878e-05	
20	1.000070e-09	8.016594e-01	1.200005e+00	3.825307e-05	
21	1.000100e-09	1.491117e+00	1.200005e+00	4.294212e-05	
22	1.000108e-09	1.499603e+00	1.200000e+00	3.721956e-06	
23	1.000124e-09	1.500362e+00	1.199999e+00	-3.21132e-06	
24	1.000156e-09	1.499655e+00	1.200000e+00	3.005575e-06	
25	1.000220e-09	1.500337e+00	1.199999e+00	-2.88090e-06	
26	1.000348e-09	1.499667e+00	1.200000e+00	2.846848e-06	
27	1.000604e-09	1.500332e+00	1.199999e+00	-2.80310e-06	
28	1.001116e-09	1.499669e+00	1.200000e+00	2.808336e-06	
29	1.002140e-09	1.500330e+00	1.199999e+00	-2.78394e-06	
30	1.004188e-09	1.499670e+00	1.200000e+00	2.798779e-06	
31	1.008284e-09	1.500330e+00	1.199999e+00	-2.77917e-06	
32	1.016476e-09	1.499670e+00	1.200000e+00	2.796394e-06	
33	1.032860e-09	1.500330e+00	1.199999e+00	-2.77798e-06	
34	1.065628e-09	1.499670e+00	1.200000e+00	2.795798e-06	
35	1.131164e-09	1.500330e+00	1.199999e+00	-2.77768e-06	
36	1.231164e-09	1.499670e+00	1.200000e+00	2.795634e-06	
37	1.331164e-09	1.500330e+00	1.199999e+00	-2.77755e-06	
38	1.431164e-09	1.499670e+00	1.200000e+00	2.795504e-06	
39	1.531164e-09	1.500330e+00	1.199999e+00	-2.77742e-06	
40	1.631164e-09	1.499670e+00	1.200000e+00	2.795374e-06	
41	1.731164e-09	1.500330e+00	1.199999e+00	-2.77729e-06	
42	1.831164e-09	1.499670e+00	1.200000e+00	2.795244e-06	
43	1.931164e-09	1.500330e+00	1.199999e+00	-2.77716e-06	
44	2.031164e-09	1.499670e+00	1.200000e+00	2.795113e-06	
45	2.131164e-09	1.500330e+00	1.199999e+00	-2.77703e-06	
46	2.231164e-09	1.499670e+00	1.200000e+00	2.794983e-06	
47	2.331164e-09	1.500330e+00	1.199999e+00	-2.77690e-06	
48	2.431164e-09	1.499671e+00	1.200000e+00	2.794853e-06	
49	2.531164e-09	1.500330e+00	1.199999e+00	-2.77677e-06	
50	2.631164e-09	1.499671e+00	1.200000e+00	2.794723e-06	
51	2.731164e-09	1.500329e+00	1.199999e+00	-2.77664e-06	
52	2.831164e-09	1.499671e+00	1.200000e+00	2.794593e-06	
53	2.931164e-09	1.500329e+00	1.199999e+00	-2.77651e-06	
54	3.031164e-09	1.499671e+00	1.200000e+00	2.794463e-06	

Index   time            v(wwl)          v(wbl)          v(rwl)          
--------------------------------------------------------------------------------
55	3.131164e-09	1.500329e+00	1.199999e+00	-2.77638e-06	
56	3.231164e-09	1.499671e+00	1.200000e+00	2.794333e-06	
57	3.331164e-09	1.500329e+00	1.199999e+00	-2.77625e-06	
