Vg,Vd,Vth,V_ov,Vdsat,Vdeff,Vdeff_over_Vd,mu,I_d
0.4,0.0001,0.399992,8.000000000008e-06,2.4000000000024e-07,2.39999308803226e-07,0.00239999308803226,0.00799999999077024,4.360503773279105e-10
0.4,0.001,0.39992,8.00000000000245e-05,2.4000000000007347e-06,2.399993088030595e-06,0.002399993088030595,0.007999999990767748,4.288837935854192e-09
0.4,0.01,0.3992,0.0008000000000000229,2.4000000000000685e-05,2.399993088029928e-05,0.002399993088029928,0.007999999990742815,3.6539650407872406e-08
0.4,0.05,0.396,0.0040000000000000036,0.0001200000000000001,0.00011999965440149306,0.002399993088029861,0.007999999990631728,1.0076234436408366e-07
0.4,0.1,0.392,0.008000000000000007,0.0002400000000000002,0.00023999930880298613,0.002399993088029861,0.007999999990492253,1.200717729289024e-07
0.4,0.5,0.36000000000000004,0.03999999999999998,0.0011999999999999995,0.0011999965440149293,0.0023999930880298586,0.007999999989352037,1.6007223851722333e-07
0.4,1.0,0.32,0.08000000000000002,0.0024000000000000002,0.00239999308802986,0.00239999308802986,0.007999999987867523,2.0236702069891293e-07
0.4,2.0,0.24000000000000002,0.16,0.0048,0.004799986176059719,0.0023999930880298594,0.007999999984711324,2.991856695990269e-07
0.4,3.0,0.16000000000000003,0.24,0.0072,0.00719997926408958,0.00239999308802986,0.007999999981320813,4.7097058640732517e-07
1.2,0.0001,0.399992,0.8000079999999999,0.02400024,9.99991319731075e-05,0.9999913197310749,0.007999999990770204,2.664979720704528e-08
1.2,0.001,0.39992,0.8000799999999999,0.024002399999999997,0.0009991332462264044,0.9991332462264044,0.007999999990767713,2.663099171416463e-07
1.2,0.01,0.3992,0.8008,0.024023999999999997,0.009232132985818627,0.9232132985818626,0.00799999999074278,2.4645011851627792e-06
1.2,0.05,0.396,0.8039999999999999,0.024119999999999996,0.02172435475852648,0.4344870951705296,0.007999999990631694,5.838734400839166e-06
1.2,0.1,0.392,0.8079999999999999,0.024239999999999998,0.023557777318750014,0.23557777318750014,0.007999999990492217,6.385130599051507e-06
1.2,0.5,0.36000000000000004,0.8399999999999999,0.025199999999999993,0.025168054830514906,0.05033610966102981,0.007999999989352,7.2871105586822804e-06
1.2,1.0,0.32,0.8799999999999999,0.026399999999999996,0.026390804934165752,0.026390804934165752,0.007999999987867485,8.269922019774259e-06
1.2,2.0,0.24000000000000002,0.96,0.0288,0.028797014480299997,0.014398507240149998,0.007999999984711282,1.046249888570987e-05
1.2,3.0,0.16000000000000003,1.04,0.0312,0.031198312840861112,0.01039943761362037,0.00799999998132077,1.2987167910340986e-05
2.0,0.0001,0.399992,1.6000079999999999,0.04800023999999999,9.999978298898765e-05,0.9999978298898765,0.007999999990770204,8.658314513142698e-08
2.0,0.001,0.39992,1.60008,0.048002399999999994,0.0009997830784137544,0.9997830784137544,0.007999999990767713,8.657117349218106e-07
2.0,0.01,0.3992,1.6008,0.048024,0.009790007666005655,0.9790007666005655,0.00799999999074278,8.483649128151454e-06
2.0,0.05,0.396,1.604,0.04812,0.034671559649448846,0.6934311929889769,0.007999999990631694,3.0147231428457403e-05
2.0,0.1,0.392,1.608,0.04824,0.043448709517052965,0.43448709517052964,0.007999999990492217,3.7939342076338654e-05
2.0,0.5,0.36000000000000004,1.64,0.049199999999999994,0.04896352490824089,0.09792704981648177,0.007999999989352,4.421135799640904e-05
2.0,1.0,0.32,1.68,0.05039999999999999,0.05033610966102982,0.05033610966102982,0.007999999987867485,4.735131712253425e-05
2.0,2.0,0.24000000000000002,1.76,0.0528,0.05278160986833151,0.026390804934165756,0.007999999984711282,5.373791415572751e-05
2.0,3.0,0.16000000000000003,1.8399999999999999,0.05519999999999999,0.055190658116024256,0.018396886038674752,0.00799999998132077,6.060137936365096e-05
